93,Mach 25 Pitch,Mach 25 Pitch,,Mach 25 Pitch,Mach 25 PitchMach 25 PitchMach 25 Pitch,,2025-03-21 00:00:00+00,2025-03-29 00:00:00+00,2025-03-15 00:00:00+00,NaN,,,,,,,,2025-03-25 14:44:37.701429+00,2025-04-17 14:35:04.726749+00,1,21,48,4,,,14,,Green                                                                                                                                                                                                                                                          ,f,14,16,15,https://www.adriannadeau.com,
24,CTCW 2025,Coming Together The Canadian Way Program for 2025,,,,,,,,"15,000",1000,,1,1,,,,2024-12-02 16:46:29.934+00,2025-01-13 21:32:55.411371+00,3,25,30,1,,,15,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,9,1,1,,
81,TEST MARCH DATE,TEST MARCH DATE,,TEST MARCH DATE TEST MARCH DATE,TEST MARCH DATE TEST MARCH DATE TEST MARCH DATE,,2025-03-13 00:00:00+00,2025-03-27 00:00:00+00,2025-03-22 00:00:00+00,0,0,0,,,,,,2025-03-07 15:50:59.509547+00,2025-04-17 20:47:00.188467+00,3,22,22,2,,,14,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,green                                                                                                                                                                                                                                                          ,f,0,0,0,,
123,Sell End of The World,Sell End of The World,,Was depressed and created a self protrait to express how I felt,Sell End of The World for $2500,,,,,3000,10,"2,500",,,,,,2025-05-20 16:02:24.839593+00,2025-06-04 22:01:44.579391+00,1,58,58,6,,,26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
124,Sell Woulda Been You,Sell Woulda Been You,,Was inspired by Sugar Beach and wanted to try painting realism and abstract and adding sand,Sell Woulda Been You for $3000,,,,,6000,20,"3,000",,,,,,2025-05-20 16:03:56.041617+00,2025-06-04 22:02:50.620175+00,1,58,58,6,,,26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
106,Training25,"IT Training, Development and Conferences for 2025",,We need our team to be educated on the latest technologies and trends,"5 Major Conferences
10 Training Courses
15 Self Directed online Courses.",,2025-01-01 00:00:00+00,2025-12-31 00:00:00+00,,"80,000",400,0,,,,,,2025-04-09 11:21:49.866965+00,2025-04-14 15:08:30.291268+00,3,45,45,4,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Yellow                                                                                                                                                                                                                                                         ,f,15,38,47,,
94,IT Security Audit,IT Security audit based of hardware/software/network configuration,,"Make sure we are secure after recent change [Alinity, move, networks]",Third-party security firm will evaluate current hardware/software/network configuration and recommend any fixes to close security gaps or issues.,,,,,35000,80,0,,,,,,2025-03-25 16:02:15.989821+00,2025-04-23 16:36:16.604289+00,3,42,49,6,,,20,,,f,15,60,64,,
39,Alinity,Alinity Production,,System of record for registration of nurses in Province.,System operations to ensure high availability and functionality for staff and members.,,2025-01-01 00:00:00+00,2025-12-31 00:00:00+00,,48000,1600,,10,10,,,,2025-01-14 14:55:58.045048+00,2025-04-23 21:05:58.633667+00,4,42,49,4,,,20,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Green                                                                                                                                                                                                                                                          ,f,15,63,0,,
135,Commission for Jess,Commission for Jess,,really nice Portugal inspired painting,really nice Portugal inspired painting,,,,,"6,000",20,"8,400",,,,,,2025-06-04 22:04:07.082809+00,2025-06-04 22:04:07.082809+00,1,58,58,1,,,26,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,0,0,0,,
31,V1 Launch,Formal Public Launch of V1,,To formally and orderly introduce the first version of the product into the market.,"- Ensure we have a well tested application
- Have a mechanism for people to purchase the product.
- Market Launch Announcement.
- Ensure we are able to support clients.
",,2025-02-24 00:00:00+00,2025-06-13 00:00:00+00,2025-06-16 00:00:00+00,10000,100,0,,,,,,2024-12-07 03:04:04.726+00,2025-06-26 14:01:14.627673+00,3,36,36,5,,,16,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,,f,14,37,0,,
64,SECOPS25,Security Operations Program 2025,,We need to ensure the security and privacy of our corporate data and information assets,"- Monitor and Respond to security Alerts
- Operate security tools (Scans, Phishing Simulations, Pswd Recycles)
- Routine Scans",,2025-01-02 00:00:00+00,2025-12-31 00:00:00+00,,75000,"1,000",0,,,,,,2025-02-25 10:05:47.131136+00,2025-05-02 00:39:07.665309+00,4,45,45,4,,,23,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Red                                                                                                                                                                                                                                                            ,f,15,38,46,https://public.3.basecamp.com/p/isBaxBTUJv2hypTzYTXfWkKK,
95,Device lifecycle 2025,"Ensure computers, laptops, tablets, and cell phones are up-to-date and functional.",,Ensure employees have tools they need to do their job.,"Evergreen program that replaces equipment on a schedule to ensure it remains safe, functional, and effective.",,2025-01-01 00:00:00+00,2025-12-31 00:00:00+00,,0,0,0,,,,,,2025-03-25 16:04:58.70006+00,2025-03-28 15:48:39.009828+00,3,50,43,4,,,20,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Green                                                                                                                                                                                                                                                          ,f,15,16,64,,
