Source,Organization Name,City,Province,Category,Description,URL,Phone,Email,Address,Homepage Title,Homepage Description,Mission Statement,Programs/Services,Social Media,Donation Link,Hours of Operation,Last Scraped
Known,United Way Halifax,Halifax,NS,,,https://www.unitedwayhalifax.ca/,,,"25 United Way Maritimes Annual Report
Our first annual report as United Way Maritimes is now available! Read about our local and regional impact, inspiring st","United Way Halifax - Together, we can change lives","Our goal is to alleviate and reduce poverty in HRM. We do that by teaming up with businesses, governments, and people like you.",,,facebook: https://www.facebook.com/UnitedWayHalifax; twitter: https://twitter.com/UWHalifax; instagram: https://www.instagram.com/uwhalifax/; linkedin: https://www.linkedin.com/company/unitedwayhalifax/; youtube: https://www.youtube.com/channel/UCLUHbNjEzY_fS4zCpIiINbw,https://www.unitedwayhalifax.ca/give/,,2025-10-31T16:57:22.592Z
Known,IWK Health Centre Foundation,Halifax,NS,,,https://iwkfoundation.org/,800-595-2266,,"4
The Consumerism of
Menopause
Available Now

Listen Now

      
                  
              
              
              
              
                  

  
        
   

 


Thank You for Making a Difference

Read the Impact Report


      
                  
              
              
              
              
                  

  
        
  Meet Adley, who relies
on your ge",IWK Foundation | IWK Foundation,,,,facebook: https://www.facebook.com/iwkfoundation; instagram: https://www.instagram.com/iwkfoundation/; linkedin: https://www.linkedin.com/company/iwkfoundation,https://secure.iwkfoundation.org/site/Donation2?2960.donation=form1&df_id=2960&mfc_pref=T&utm_source=website&utm_medium=header-button&utm_campaign=evergreen&utm_content=donate,,2025-10-31T16:57:24.912Z
Known,Feed Nova Scotia,Halifax,NS,,,https://www.feednovascotia.ca/,902-457-1900,,,Home | Feed Nova Scotia,Feed Nova Scotia supports food banks and meal programs across the province while advocating for solutions to sustainable change.,,And we need your help,facebook: https://www.facebook.com/feednovascotia; instagram: https://www.instagram.com/feednovascotia/; linkedin: https://www.linkedin.com/company/feednovascotia/; youtube: https://www.youtube.com/user/feednovascotia,https://feednovascotia.ca/donate/,,2025-10-31T16:57:27.126Z
Known,United Way of Greater Moncton,Moncton,NB,,,https://www.unitedwaymoncton.ca/,,,,,,,,,,,2025-10-31T16:57:29.187Z
Known,Hospice Greater Saint John,Saint John,NB,,,https://www.hospicesaintjohn.ca/,,,,,,,,,,,2025-10-31T16:57:31.230Z
Known,United Way PEI,Charlottetown,PE,,,https://www.unitedwaypei.com/,,,,,,,,,,,2025-10-31T16:57:33.294Z
Known,PEI Humane Society,Charlottetown,PE,,,https://www.peihumanesociety.com/,(902) 892-1190,,"202570 Mile Yard Sale Vendors – Learn How You Can Help Animals on PEI THIS FUNDRAISER HAS CLOSED The PEI Humane Society is thrilled to partner with the...
read more			
			
				
	« Older Entries
	

				
				 
				Read More News
			
			
				
				
				
				
			
				
				
			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				2023 at a glance…
			
			
				
				
				
				
			
				
				
				
				
				
				
				
				
				
				
				
				Animals Helped
			
			
				
				
				
				
				
				
				
				
				
				
				Successful Adoptions
			
			
				
				
				
				
				
				
				
				
				
				
				Meals Served
			
			
				
				
				
				
			
				
				
			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				 About the Prince Edward Island Humane Society
The PEI Humane Society is the Island’s only shelter for homeless, injured and lost companion an",PEI Humane Society | Prince Edward Island,"PEI's only Shelter for homeless, injured and lost companion animals. Animal adoption, lost and found service, animal foster program in PEI.",,Animals Helped,facebook: https://www.facebook.com/peihumanesociety; twitter: https://twitter.com/peihs; instagram: https://www.instagram.com/pei_hs/; youtube: https://www.youtube.com/channel/UCyQIlPwHXOHQmfqS6xBZDGQ/featured,https://peihumanesociety.com/donate/,,2025-10-31T16:57:35.710Z
Known,Janeway Children's Hospital Foundation,St. John's,NL,,,https://www.janewayfoundation.nf.ca/,,,,,,,,,,,2025-10-31T16:57:37.887Z
Known,Community Foundation of Newfoundland and Labrador,St. John's,NL,,,https://www.cfnl.ca/,709 753 9899,info@cfnl.ca,"2025 Forest Fire Recovery Funds
										Forest fires are threatening communities across Newfoundland and Labrador. Many communities are evacuated, and tens of thousands more residents are on evacuation al",Community Foundation of Newfoundland and Labrador -,,,,facebook: https://www.facebook.com/CommunityFoundationofNewfoundlandandLabrador/; linkedin: https://www.linkedin.com/company/community-foundation-of-newfoundland-and-labrador/,https://cfnl.ca/donate/,,2025-10-31T16:57:40.923Z
Known,Nova Scotia Nature Trust,Halifax,NS,,,https://nsnt.ca/,902-425-5263,nature@nsnt.ca,"81 Prince Albert Road, 
Da",Nova Scotia Nature Trust,,,A compass set to acts of service: Marjan and Craig Willett; Key Biodiversity Areas: A framework to support long-term conservation of high value sites,facebook: https://www.facebook.com/novascotianaturetrust/; instagram: https://www.instagram.com/nsnaturetrust/; linkedin: https://www.linkedin.com/company/nova-scotia-nature-trust/; youtube: https://www.youtube.com/user/naturetrust,https://nsnt.ca/giving/donate/,,2025-10-31T16:57:43.109Z
