"source","name","ein","city","state","category","url"
"ProPublica","Wace Educational Education",510172322,"Santa Maria","CA",,"https://projects.propublica.org/nonprofits/organizations/510172322"
"ProPublica","Intercounty Charitable And Educational Education",431911006,"Licking","MO","P20","https://projects.propublica.org/nonprofits/organizations/431911006"
"ProPublica","Education Minnesota Osseo Administrative Educational Support",261642121,"New Brighton","MN","J40","https://projects.propublica.org/nonprofits/organizations/261642121"
"ProPublica","Education Minnesota Wem Educational Support Profesionals",260310502,"Waterville","MN","B99","https://projects.propublica.org/nonprofits/organizations/260310502"
"ProPublica","Centro Biblico Educativo Bible Education Inc",800506251,"N Highlands","CA","X20","https://projects.propublica.org/nonprofits/organizations/800506251"
"ProPublica","African Diasporic Arts And Educatio Education Inc",883432198,"Winter Garden","FL","A20","https://projects.propublica.org/nonprofits/organizations/883432198"
"ProPublica","Champaign County Extension Educatio Education Foundation",364981940,"Belvidere","IL",,"https://projects.propublica.org/nonprofits/organizations/364981940"
"ProPublica","Education",873071602,"Fremont","CA","F01","https://projects.propublica.org/nonprofits/organizations/873071602"
"ProPublica","Goodhue County Education District Educational Support Pro",814905837,"Red Wing","MN","J40","https://projects.propublica.org/nonprofits/organizations/814905837"
"ProPublica","Illinois Education Education",823485839,"Libertyville","IL",,"https://projects.propublica.org/nonprofits/organizations/823485839"
"ProPublica","Karen K St John Charitable Educatio Education Trust",456691848,"Appleton","WI","T20","https://projects.propublica.org/nonprofits/organizations/456691848"
"ProPublica","San Joaquin County Office Of Education Educational Foundation",680342748,"Stockton","CA","B122","https://projects.propublica.org/nonprofits/organizations/680342748"
"ProPublica","Education Incubator",815155325,"Honolulu","HI","B05","https://projects.propublica.org/nonprofits/organizations/815155325"
"ProPublica","Earth Education",921660612,"Santa Fe","NM","U30","https://projects.propublica.org/nonprofits/organizations/921660612"
"ProPublica","Education Minnesota Freshwater Education District",203260772,"Staples","MN","J40","https://projects.propublica.org/nonprofits/organizations/203260772"
"ProPublica","Underdog Education",333818115,"Cedar City","UT","B82","https://projects.propublica.org/nonprofits/organizations/333818115"
"ProPublica","Education Services Consulting",461003745,"Lafayette","CO","Z99","https://projects.propublica.org/nonprofits/organizations/461003745"
"ProPublica","Florida Education Association",800553107,"Alva","FL",,"https://projects.propublica.org/nonprofits/organizations/800553107"
"ProPublica","Illinois Education Association",371269707,"Edwardsville","IL",,"https://projects.propublica.org/nonprofits/organizations/371269707"
"ProPublica","Illinois Education Association",352386358,"Lombard","IL",,"https://projects.propublica.org/nonprofits/organizations/352386358"
"ProPublica","Uplift Education",752659683,"Dallas","TX","B20Z","https://projects.propublica.org/nonprofits/organizations/752659683"
"ProPublica","Rocketship Education",204040597,"Redwood City","CA","B29","https://projects.propublica.org/nonprofits/organizations/204040597"
"ProPublica","Education Minnesota",411916882,"Saint Paul","MN","J40","https://projects.propublica.org/nonprofits/organizations/411916882"
"ProPublica","Cambiar Education",813508420,"San Diego","CA","B90","https://projects.propublica.org/nonprofits/organizations/813508420"
"ProPublica","Orenda Education",742774612,"Georgetown","TX","F20","https://projects.propublica.org/nonprofits/organizations/742774612"
