source,name,ein,city,state,category,url,homepage_title,homepage_description,homepage_keywords,phone,email,address,social_media,programs,donation_link,last_scraped
"ProPublica","Wace Educational Education","510172322","Santa Maria","CA","","https://projects.propublica.org/nonprofits/organizations/510172322","Wace Educational Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:22.673Z"
"ProPublica","Intercounty Charitable And Educational Education","431911006","Licking","MO","P20","https://projects.propublica.org/nonprofits/organizations/431911006","Intercounty Charitable And Educational Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:23.835Z"
"ProPublica","Education Minnesota Osseo Administrative Educational Support","261642121","New Brighton","MN","J40","https://projects.propublica.org/nonprofits/organizations/261642121","Education Minnesota Osseo Administrative Educational Support - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:24.919Z"
"ProPublica","Education Minnesota Wem Educational Support Profesionals","260310502","Waterville","MN","B99","https://projects.propublica.org/nonprofits/organizations/260310502","Education Minnesota Wem Educational Support Profesionals - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:25.989Z"
"ProPublica","Centro Biblico Educativo Bible Education Inc","800506251","N Highlands","CA","X20","https://projects.propublica.org/nonprofits/organizations/800506251","Centro Biblico Educativo Bible Education Inc - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:27.063Z"
"ProPublica","African Diasporic Arts And Educatio Education Inc","883432198","Winter Garden","FL","A20","https://projects.propublica.org/nonprofits/organizations/883432198","African Diasporic Arts And Educatio Education Inc - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:28.145Z"
"ProPublica","Champaign County Extension Educatio Education Foundation","364981940","Belvidere","IL","","https://projects.propublica.org/nonprofits/organizations/364981940","Champaign County Extension Educatio Education Foundation - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:29.236Z"
"ProPublica","Education","873071602","Fremont","CA","F01","https://projects.propublica.org/nonprofits/organizations/873071602","Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:30.330Z"
"ProPublica","Goodhue County Education District Educational Support Pro","814905837","Red Wing","MN","J40","https://projects.propublica.org/nonprofits/organizations/814905837","Goodhue County Education District Educational Support Pro - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:31.418Z"
"ProPublica","Illinois Education Education","823485839","Libertyville","IL","","https://projects.propublica.org/nonprofits/organizations/823485839","Illinois Education Education - Nonprofit Explorer - ProPublicaMenuProPublicaCloseProPublicaSearchRacial JusticeHealthcarePoliticsCriminal JusticeBlueskyInstagramFacebookXYouTubeThreadsLinkedInRSSSearchSearchProPublica","Since 2013, the IRS has released data culled from millions of nonprofit tax filings. Use this database to find organizations and see details like their executive compensation, revenue and expenses, as well as download tax filings going back as far as 2001.","nonprofit explorer, 990, 990 filings, non profit explorer, non-profit explorer, research non-profits, non-profit data, non-profit pdfs, irs pdfs, irs 990s, irs 990, irs nonprofit, irs nonprofit data, propublica nonprofits, propublica nonprofit explorer, topline data on nonprofits, look up corporation, lookup corporation","","","","[object Object]","","https://give.propublica.org/give/498623/#!/donation/checkout","2025-10-30T18:06:32.507Z"
